MRKT_DSC_SHRT,NIELSEN_SOURCE_TABLE,REVIEW_STATUS
C. Moderno Area 2_MT,WATER_NIELSEN_RIE,NEEDS_REVIEW
Total _Monterrey,EDP_NIELSEN,NEEDS_REVIEW
Autos Scanning Area 5,EDP_NIELSEN,NEEDS_REVIEW
Total Autos Hermosillo,PB_NIELSEN,NEEDS_REVIEW
Autoservicios Scanning Coatzacoalcos,PB_NIELSEN,NEEDS_REVIEW
Autoservicios Scanning Puerto Vallarta,PB_NIELSEN,NEEDS_REVIEW
Autoservicios Scanning San Andres Tuxtla,PB_NIELSEN,NEEDS_REVIEW
TRADICIONAL MERIDA.,WATER_NIELSEN_RIE,NEEDS_REVIEW
Total Autos Ensenada,PB_NIELSEN,NEEDS_REVIEW
Canal Tradicional _Guadalajara Zona 2,EDP_NIELSEN,NEEDS_REVIEW
C. Moderno T. Mexico_MT,WATER_NIELSEN_RIE,NEEDS_REVIEW
Total Autos Acapulco,PB_NIELSEN,NEEDS_REVIEW
Total Autos Guadalajara,PB_NIELSEN,NEEDS_REVIEW
Canal Moderno Area 6.2 Sur,EDP_NIELSEN,NEEDS_REVIEW
Canal Tradicional _Villahermosa,EDP_NIELSEN,NEEDS_REVIEW
Total Autos San Andres Tuxtla_MT,PB_NIELSEN,NEEDS_REVIEW
Autoservicios Jalapa,EDP_NIELSEN,NEEDS_REVIEW
Total Autos Campeche,PB_NIELSEN,NEEDS_REVIEW
Autos Scanning Total Mexico,EDP_NIELSEN,NEEDS_REVIEW
Autoservicios Coatzacoalcos,EDP_NIELSEN,NEEDS_REVIEW
Autoservicios Scanning Nuevo Laredo,PB_NIELSEN,NEEDS_REVIEW
Autoservicios Tampico,EDP_NIELSEN,NEEDS_REVIEW
Canal Tradicional _Area 3,EDP_NIELSEN,NEEDS_REVIEW
Canal Tradicional _Vdm Zona 1,EDP_NIELSEN,NEEDS_REVIEW
Total Autos Cd. Obregon,PB_NIELSEN,NEEDS_REVIEW
Total Autos Cd. Valles_MT,PB_NIELSEN,NEEDS_REVIEW
Autoservicios Villahermosa,EDP_NIELSEN,NEEDS_REVIEW
Total Autos Cd. Del Carmen,PB_NIELSEN,NEEDS_REVIEW
Autoservicios Puerto Vallarta,EDP_NIELSEN,NEEDS_REVIEW
Autoservicios Scanning Oaxaca,PB_NIELSEN,NEEDS_REVIEW
Autoservicios Surt. Esencial Total Mexico,EDP_NIELSEN,NEEDS_REVIEW
Total Monterrey_MT,WATER_NIELSEN_RIE,NEEDS_REVIEW
Canal Tradicional _Mexicali,EDP_NIELSEN,NEEDS_REVIEW
TRADICIONAL VDM ZONA IV,WATER_NIELSEN_RIE,NEEDS_REVIEW
Canal Moderno Area 6,EDP_NIELSEN,NEEDS_REVIEW
TDC + Farmacias Cad + Hard Discounters Guadalajara,EDP_NIELSEN,NEEDS_REVIEW
Autoservicios Scanning San Luis Rio Colorado,PB_NIELSEN,NEEDS_REVIEW
Autoservicios Surt. Completo Area 3,EDP_NIELSEN,NEEDS_REVIEW
C. Proximidad Total Mexico_MT,WATER_NIELSEN_RIE,NEEDS_REVIEW
TRADICIONAL LEON,WATER_NIELSEN_RIE,NEEDS_REVIEW
TRADICIONAL QUERETARO,WATER_NIELSEN_RIE,NEEDS_REVIEW
Autoservicios Cancun,EDP_NIELSEN,NEEDS_REVIEW
Autoservicios Cozumel,EDP_NIELSEN,NEEDS_REVIEW
Autoservicios Scanning Cancun,PB_NIELSEN,NEEDS_REVIEW
Autoservicios Surt. Extendido Area 5,EDP_NIELSEN,NEEDS_REVIEW
Total Autos Area 4,PB_NIELSEN,NEEDS_REVIEW
Total Autos Nuevo Laredo,PB_NIELSEN,NEEDS_REVIEW
Total Autos Cd. Cuauhtemoc_MT,PB_NIELSEN,NEEDS_REVIEW
Autoservicios Chihuahua,EDP_NIELSEN,NEEDS_REVIEW
Autoservicios Monclova,EDP_NIELSEN,NEEDS_REVIEW
C. Moderno Area 4_MT,WATER_NIELSEN_RIE,NEEDS_REVIEW
TRADICIONAL AREA V,WATER_NIELSEN_RIE,NEEDS_REVIEW
Autoservicios Scanning Hermosillo,PB_NIELSEN,NEEDS_REVIEW
Autoservicios Toluca,EDP_NIELSEN,NEEDS_REVIEW
Total Autos San Luis Potosi,PB_NIELSEN,NEEDS_REVIEW
Autoservicios Surtido Completo Area 1_MT,WATER_NIELSEN_RIE,NEEDS_REVIEW
Autoservicios Tuxtla Gutierrez,EDP_NIELSEN,NEEDS_REVIEW
C. Moderno Area 6_MT,WATER_NIELSEN_RIE,NEEDS_REVIEW
TOTAL AUTOS AREA 3 - AREA 6,PB_NIELSEN,NEEDS_REVIEW
Total Autos Mexicali,PB_NIELSEN,NEEDS_REVIEW
Tradicionales Grandes Y Minisupers _Total Mexico,EDP_NIELSEN,NEEDS_REVIEW
Total Autos VDM,PB_NIELSEN,NEEDS_REVIEW
Canal Moderno Total Mexico,EDP_NIELSEN,NEEDS_REVIEW
Autoservicios Los Cabos,EDP_NIELSEN,NEEDS_REVIEW
Autoservicios Scanning Playa del Carmen,PB_NIELSEN,NEEDS_REVIEW
