column_name,row_count,value
CUS_ADR_RGN_COD,103228.000000000000000000,SLP
CUS_ADR_RGN_COD,103051.000000000000000000,AGS
CUS_ADR_RGN_COD,98689.000000000000000000,HGO
CUS_ADR_RGN_COD,95095.000000000000000000,TLX
CUS_ADR_RGN_COD,94078.000000000000000000,CHI
CUS_GRP_COD,2087025.000000000000000000,
CUS_GRP_COD,1728684.000000000000000000,H0
CUS_GRP_COD,1578255.000000000000000000,V6
CUS_GRP_COD,556368.000000000000000000,AB
CUS_GRP_COD,244114.000000000000000000,A6
CUS_GRP_COD,154496.000000000000000000,V5
CUS_GRP_COD,145185.000000000000000000,A0
CUS_GRP_COD,119194.000000000000000000,V9
CUS_GRP_COD,112631.000000000000000000,V8
