marca_std,raw_variant,brand_original,source_system,source_column,brand_owner,promoted,coverage_status,grain_count,catalog_built_date
JUMEX,JUMEX_FRUTZZO,JUMEX_FRUTZZO,MKT_OFF,MARCA,COMPETITOR,YES,CONFIRMED,3645,2026-06-29
JUMEX,JUMEX_HYDROLIT,JUMEX_HYDROLIT,MKT_OFF,MARCA,COMPETITOR,YES,CONFIRMED,4473,2026-06-29
JUMEX,JUMEX,JUMEX,NIELSEN_WATER_RT,CSTM_310589,COMPETITOR,YES,CONFIRMED,314,2026-06-29
JUMEX,JUMEX,JUMEX,NIELSEN_WATER_ST,CSTM_310589,COMPETITOR,YES,CONFIRMED,597,2026-06-29
LALA,LALA_BIO4,LALA_BIO4,MKT_OFF,MARCA,COMPETITOR,YES,CONFIRMED,93,2026-06-29
LALA,LALA_YOGURT_100,LALA_YOGURT_100,MKT_OFF,MARCA,COMPETITOR,YES,CONFIRMED,32,2026-06-29
LALA,LALA_QUESOS,LALA_QUESOS,MKT_OFF,MARCA,COMPETITOR,YES,CONFIRMED,7956,2026-06-29
LALA,LALA_PROBIOC,LALA_PROBIOC,MKT_OFF,MARCA,COMPETITOR,YES,CONFIRMED,2628,2026-06-29
LALA,LALA_YOMI,LALA_YOMI,MKT_OFF,MARCA,COMPETITOR,YES,CONFIRMED,4822,2026-06-29
LALA,LALA_LECHE,LALA_LECHE,MKT_OFF,MARCA,COMPETITOR,YES,CONFIRMED,17936,2026-06-29
LALA,LALA_CREMA,LALA_CREMA,MKT_OFF,MARCA,COMPETITOR,YES,CONFIRMED,3724,2026-06-29
LALA,LALA_YOGURT,LALA_YOGURT,MKT_OFF,MARCA,COMPETITOR,YES,CONFIRMED,8626,2026-06-29
LALA,LALA,LALA,MKT_OFF,MARCA,COMPETITOR,YES,CONFIRMED,31939,2026-06-29
LALA,LALA_CHIQUITIN,LALA_CHIQUITIN,MKT_OFF,MARCA,COMPETITOR,YES,CONFIRMED,3661,2026-06-29
LALA,LALA_PLENIA,LALA_PLENIA,MKT_OFF,MARCA,COMPETITOR,YES,CONFIRMED,6493,2026-06-29
LALA,LALA_NATURALES,LALA_NATURALES,MKT_OFF,MARCA,COMPETITOR,YES,CONFIRMED,3272,2026-06-29
LALA,LALA_GRIEGO,LALA_GRIEGO,MKT_OFF,MARCA,COMPETITOR,YES,CONFIRMED,7567,2026-06-29
LALA,LALA_LECHE_100,LALA_LECHE_100,MKT_OFF,MARCA,COMPETITOR,YES,CONFIRMED,4242,2026-06-29
LALA,LALA_MAESTROS,LALA_MAESTROS,MKT_OFF,MARCA,COMPETITOR,YES,CONFIRMED,207,2026-06-29
LALA,LALA,LALA,NIELSEN_EDP,INP_56985,COMPETITOR,YES,CONFIRMED,830,2026-06-29
LALA,LALA,LALA,NIELSEN_WATER_RT,CSTM_310589,COMPETITOR,YES,CONFIRMED,59,2026-06-29
LALA,LALA,LALA,NIELSEN_WATER_ST,CSTM_310589,COMPETITOR,YES,CONFIRMED,57,2026-06-29
LEVITE,LEVITE,LEVITE,IBP,MARCA,DANONE,YES,CONFIRMED,1776,2026-06-29
LEVITE,BONAFONT_LEVITE,BONAFONT_LEVITE,MKT_OFF,MARCA,DANONE,YES,CONFIRMED,1750,2026-06-29
LEVITE,BONAFONT LEVITE,BONAFONT LEVITE,MKT_OFF,MARCA,DANONE,YES,CONFIRMED,842,2026-06-29
LEVITE,BONAFONT_LEVITE,BONAFONT_LEVITE,MKT_ON,MARCA,DANONE,YES,CONFIRMED,943,2026-06-29
LEVITE,LEVITE,LEVITE,MKT_ON,MARCA,DANONE,YES,CONFIRMED,19,2026-06-29
LEVITE,LEVITE,Levite,SELL_IN,LV2_UMB_BRD_DSC,DANONE,YES,CONFIRMED,19,2026-06-29
LEVITE,LEVITE,LEVITE,SELL_IN,LV2_UMB_BRD_DSC,DANONE,YES,CONFIRMED,344,2026-06-29
LEVITE,LEVITE,LEVITE,SELL_OUT,BRAND,DANONE,YES,CONFIRMED,153,2026-06-29
LICUAMIX,LICUAMIX,LICUAMIX,NIELSEN_EDP,INP_56985,DANONE,YES,CONFIRMED,10,2026-06-29
LICUAMIX,LICUAMIX,LICUAMIX,SELL_IN,LV2_UMB_BRD_DSC,DANONE,YES,CONFIRMED,3,2026-06-29
LICUAMIX,LICUAMIX,LICUAMIX,SELL_OUT,BRAND,DANONE,YES,CONFIRMED,3,2026-06-29
OCEAN SPRAY,OCEAN SPRAY,OCEAN SPRAY,IBP,MARCA,DANONE,YES,CONFIRMED,26520,2026-06-29
OCEAN SPRAY,OCEAN SPRAY,OCEAN SPRAY,NIELSEN_WATER_RT,CSTM_310589,DANONE,YES,CONFIRMED,12,2026-06-29
OCEAN SPRAY,OCEAN SPRAY,OCEAN SPRAY,SELL_IN,LV2_UMB_BRD_DSC,DANONE,YES,CONFIRMED,29,2026-06-29
OCEAN SPRAY,OCEAN SPRAY,OCEAN SPRAY,SELL_OUT,BRAND,DANONE,YES,CONFIRMED,32,2026-06-29
OCEAN SPRAY,OCEAN,OCEAN,WASTE,MARCA,DANONE,YES,CONFIRMED,97,2026-06-29
OCEAN SPRAY,OCEAN SPRAY,OCEAN SPRAY,WASTE,MARCA,DANONE,YES,CONFIRMED,130941,2026-06-29
OIKOS,OIKOS,OIKOS,IBP,MARCA,DANONE,YES,CONFIRMED,184968,2026-06-29
OIKOS,OIKOS,OIKOS,MKT_OFF,MARCA,DANONE,YES,CONFIRMED,18547,2026-06-29
OIKOS,OIKOS,OIKOS,MKT_ON,MARCA,DANONE,YES,CONFIRMED,8822,2026-06-29
OIKOS,OIKOS,OIKOS,NIELSEN_EDP,INP_56985,DANONE,YES,CONFIRMED,237,2026-06-29
OIKOS,OIKOS,OIKOS,SELL_IN,LV2_UMB_BRD_DSC,DANONE,YES,CONFIRMED,137,2026-06-29
OIKOS,OIKOS UHT,OIKOS UHT,SELL_OUT,BRAND,DANONE,YES,CONFIRMED,2,2026-06-29
OIKOS,OIKOS,OIKOS,SELL_OUT,BRAND,DANONE,YES,CONFIRMED,105,2026-06-29
OIKOS,OIKOS,OIKOS,WASTE,MARCA,DANONE,YES,CONFIRMED,853603,2026-06-29
