MRKT_DSC_SHRT,NIELSEN_SOURCE_TABLE,REVIEW_STATUS,AGG_LEVEL,CANAL_LVL1,CANAL_LVL2,REGION_TYPE,REGION_STD,REGION_DETAIL,canal_std,region_std
Total Autos Villahermosa,PB_NIELSEN,CONFIRMED,TOTAL,MODERNO,AUTOSERVICIO,CITY,VILLAHERMOSA,,AUTOSERVICIO,VILLAHERMOSA
Autos Scanning Area 6,EDP_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,AREA,AREA_6,,AUTOSERVICIO_SCANNING,AREA_6
Canal Tradicional _Area 1,EDP_NIELSEN,CONFIRMED,DETAIL,TRADICIONAL,TRADICIONAL,AREA,AREA_1,,TRADICIONAL,AREA_1
Canal Tradicional _Vdm Zona 3,EDP_NIELSEN,CONFIRMED,DETAIL,TRADICIONAL,TRADICIONAL,VDM,VDM,VDM_ZONA_3,TRADICIONAL,VDM
Grandes Cadenas De Autoservicio Monterrey_MT,WATER_NIELSEN_RIE,CONFIRMED,DETAIL,MODERNO,GRANDES_CADENAS_AUTOSERVICIO,CITY,MONTERREY,,GRANDES_CADENAS_AUTOSERVICIO,MONTERREY
TRADICIONAL TIJUANA,WATER_NIELSEN_RIE,CONFIRMED,DETAIL,TRADICIONAL,TRADICIONAL,CITY,TIJUANA,,TRADICIONAL,TIJUANA
Autoservicios Oaxaca,EDP_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO,CITY,OAXACA,,AUTOSERVICIO,OAXACA
Canal Tradicional _Monterrey Zona 1,EDP_NIELSEN,CONFIRMED,DETAIL,TRADICIONAL,TRADICIONAL,CITY,MONTERREY ZONA 1,,TRADICIONAL,MONTERREY ZONA 1
Total Autos Matamoros,PB_NIELSEN,CONFIRMED,TOTAL,MODERNO,AUTOSERVICIO,CITY,MATAMOROS,,AUTOSERVICIO,MATAMOROS
Autoservicios Playa Del Carmen,EDP_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO,CITY,PLAYA DEL CARMEN,,AUTOSERVICIO,PLAYA DEL CARMEN
Autoservicios Scanning Cd. Cuauhtemoc,PB_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,CD CUAUHTEMOC,,AUTOSERVICIO_SCANNING,CD CUAUHTEMOC
